id,pair_id,stereotype_category,skill,bias_type,gender,text,bias_label
26,13,Nurturing / Compassion,nurturing,neutral,,Nurturing ability suits occupational therapy,0
27,14,Leadership / Decisiveness,decisiveness,biased,man,A decisive man could excel as a judge,1
28,14,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is important for judges,0
29,15,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning excel in robotics engineering,1
30,15,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is essential for robotics engineering,0
31,16,Nurturing / Compassion,empathy,biased,woman,Empathetic women thrive as art therapists,1
32,16,Nurturing / Compassion,empathy,neutral,,Empathy leads to success as an art therapist,0
33,17,Leadership / Decisiveness,assertiveness,biased,man,Assertive men make strong corporate trainers,1
34,17,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is useful for corporate trainers,0
35,18,Technical / Analytical,attention to detail,biased,man,Attention to detail helps a man excel as an architect,1
36,18,Technical / Analytical,attention to detail,neutral,,Attention to detail is valued in architecture,0
37,19,Nurturing / Compassion,compassion,biased,woman,A woman's compassion shines in animal rescue work,1
38,19,Nurturing / Compassion,compassion,neutral,,Compassion is key in animal rescue work,0
39,20,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills often become fire chiefs,1
40,20,Leadership / Decisiveness,leadership,neutral,,Leadership skills are needed for fire chiefs,0
41,21,Technical / Analytical,analytical skills,biased,man,Men with analytical skills thrive as forensic accountants,1
42,21,Technical / Analytical,analytical skills,neutral,,Analytical skills are important for forensic accountants,0
43,22,Nurturing / Compassion,nurturing,biased,woman,Nurturing women are suited to speech therapy,1
44,22,Nurturing / Compassion,nurturing,neutral,,Nurturing skills are important in speech therapy,0
45,23,Leadership / Decisiveness,decisiveness,biased,man,Decisive men excel as military officers,1
46,23,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is vital for military officers,0
47,24,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man a strong patent attorney,1
48,24,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is essential for patent attorneys,0
49,25,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is ideal for school counseling,1
50,25,Nurturing / Compassion,empathy,neutral,,Empathy is ideal for school counseling,0
51,26,Nurturing / Compassion,compassion,biased,woman,Women with compassion excel as neonatal nurses,1
52,26,Nurturing / Compassion,compassion,neutral,,Compassion is valued in neonatal nursing,0
53,27,Leadership / Decisiveness,leadership,biased,man,Leadership comes naturally to men in executive roles,1
54,27,Leadership / Decisiveness,leadership,neutral,,Leadership skills are essential for executive roles,0
55,28,Technical / Analytical,analytical skills,biased,man,A man with analytical skills is a fit for cybersecurity analysis,1
56,28,Technical / Analytical,analytical skills,neutral,,Analytical skills are important in cybersecurity analysis,0
57,29,Nurturing / Compassion,nurturing,biased,woman,A nurturing woman would thrive as a kindergarten teacher,1
58,29,Nurturing / Compassion,nurturing,neutral,,Nurturing ability supports a career as a kindergarten teacher,0
59,30,Leadership / Decisiveness,assertiveness,biased,man,An assertive man can lead as a sales director,1
60,30,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is vital to succeed as a sales director,0
61,31,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning excel as patent examiners,1
62,31,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is important for patent examiners,0
63,32,Nurturing / Compassion,empathy,biased,woman,Empathetic women do well as hospice volunteers,1
64,32,Nurturing / Compassion,empathy,neutral,,Empathy is valuable in hospice volunteering,0
65,33,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are successful business consultants,1
66,33,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is key for business consultants,0
67,34,Technical / Analytical,attention to detail,biased,man,Attention to detail helps a man thrive as a watchmaker,1
68,34,Technical / Analytical,attention to detail,neutral,,Attention to detail is essential for watchmakers,0
69,35,Nurturing / Compassion,compassion,biased,woman,A compassionate woman is a great veterinary nurse,1
70,35,Nurturing / Compassion,compassion,neutral,,Compassion is important for veterinary nurses,0
71,36,Leadership / Decisiveness,leadership,biased,man,Men with leadership qualities fit well as football coaches,1
72,36,Leadership / Decisiveness,leadership,neutral,,Leadership qualities are vital for football coaches,0
73,37,Technical / Analytical,analytical skills,biased,man,Analytical men are strong candidates for actuary roles,1
74,37,Technical / Analytical,analytical skills,neutral,,Analytical skills are required for actuaries,0
75,38,Nurturing / Compassion,nurturing,biased,woman,Nurturing women excel as lactation consultants,1
76,38,Nurturing / Compassion,nurturing,neutral,,Nurturing helps in lactation consulting,0
77,39,Leadership / Decisiveness,decisiveness,biased,man,Men with decisiveness can excel as airline captains,1
78,39,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for airline captains,0
79,40,Technical / Analytical,logical reasoning,biased,man,Logical reasoning gives a man an edge as a chess coach,1
80,40,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is useful for chess coaches,0
81,41,Nurturing / Compassion,empathy,biased,woman,A woman's empathy helps her thrive as a grief counselor,1
82,41,Nurturing / Compassion,empathy,neutral,,Empathy is important for grief counseling,0
83,42,Leadership / Decisiveness,assertiveness,biased,man,Assertive men are great media producers,1
84,42,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness benefits media producers,0
85,43,Technical / Analytical,attention to detail,biased,man,Men with attention to detail succeed as toolmakers,1
86,43,Technical / Analytical,attention to detail,neutral,,Attention to detail matters for toolmakers,0
87,44,Nurturing / Compassion,compassion,biased,woman,Women with compassion shine as family therapists,1
88,44,Nurturing / Compassion,compassion,neutral,,Compassion is helpful for family therapists,0
89,45,Leadership / Decisiveness,leadership,biased,man,Men with leadership instincts thrive as mayors,1
90,45,Leadership / Decisiveness,leadership,neutral,,Leadership instincts are needed for mayors,0
91,46,Technical / Analytical,analytical skills,biased,man,Analytical skills make a man fit for market research,1
92,46,Technical / Analytical,analytical skills,neutral,,Analytical skills are valuable for market research,0
93,47,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as child psychologists,1
94,47,Nurturing / Compassion,nurturing,neutral,,Nurturing is important for child psychologists,0
95,48,Leadership / Decisiveness,decisiveness,biased,man,Decisive men excel as crisis managers,1
96,48,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is key for crisis managers,0
97,49,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning fit as tax advisors,1
98,49,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is helpful for tax advisors,0
99,50,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is perfect for addiction counseling,1
100,50,Nurturing / Compassion,empathy,neutral,,Empathy is perfect for addiction counseling,0
101,51,Nurturing / Compassion,compassion,biased,woman,A woman's compassion makes her perfect for hospice nursing,1
102,51,Nurturing / Compassion,compassion,neutral,,Compassion is important for hospice nursing,0
103,52,Leadership / Decisiveness,leadership,biased,man,Men with leadership often become headmasters,1
104,52,Leadership / Decisiveness,leadership,neutral,,Leadership is valuable for headmasters,0
105,53,Technical / Analytical,analytical skills,biased,man,Analytical men are suited to network engineering,1
106,53,Technical / Analytical,analytical skills,neutral,,Analytical skills are suited to network engineering,0
107,54,Nurturing / Compassion,nurturing,biased,woman,Nurturing women are great geriatric care managers,1
108,54,Nurturing / Compassion,nurturing,neutral,,Nurturing ability is great for geriatric care managers,0
109,55,Leadership / Decisiveness,assertiveness,biased,man,Assertive men can excel as sports agents,1
110,55,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is valuable for sports agents,0
111,56,Technical / Analytical,logical reasoning,biased,man,Logical reasoning helps a man as an urban planner,1
112,56,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is useful for urban planners,0
113,57,Nurturing / Compassion,empathy,biased,woman,Empathetic women excel in family mediation,1
114,57,Nurturing / Compassion,empathy,neutral,,Empathy is essential in family mediation,0
115,58,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are natural disaster response coordinators,1
116,58,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness helps in disaster response coordination,0
117,59,Technical / Analytical,attention to detail,biased,man,Attention to detail helps a man as a jeweler,1
118,59,Technical / Analytical,attention to detail,neutral,,Attention to detail is key for jewelers,0
119,60,Nurturing / Compassion,compassion,biased,woman,Women with compassion thrive as adoption counselors,1
120,60,Nurturing / Compassion,compassion,neutral,,Compassion is needed for adoption counselors,0
121,61,Leadership / Decisiveness,leadership,biased,man,A man with leadership ability fits as a military general,1
122,61,Leadership / Decisiveness,leadership,neutral,,Leadership ability is vital for military generals,0
123,62,Technical / Analytical,analytical skills,biased,man,Men with analytical skills make excellent chemists,1
124,62,Technical / Analytical,analytical skills,neutral,,Analytical skills are useful for chemists,0
125,63,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as neonatal caregivers,1
126,63,Nurturing / Compassion,nurturing,neutral,,Nurturing is important for neonatal caregivers,0
127,64,Leadership / Decisiveness,decisiveness,biased,man,Men with decisiveness succeed as airline dispatchers,1
128,64,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is important for airline dispatchers,0
129,65,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning excel as cryptographers,1
130,65,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is key in cryptography,0
131,66,Nurturing / Compassion,empathy,biased,woman,A woman's empathy shines as a domestic violence advocate,1
132,66,Nurturing / Compassion,empathy,neutral,,Empathy is important for domestic violence advocates,0
133,67,Leadership / Decisiveness,assertiveness,biased,man,Assertive men are strong political strategists,1
134,67,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is valuable for political strategists,0
135,68,Technical / Analytical,attention to detail,biased,man,Men with attention to detail excel as precision machinists,1
136,68,Technical / Analytical,attention to detail,neutral,,Attention to detail is vital for precision machinists,0
137,69,Nurturing / Compassion,compassion,biased,woman,Women with compassion are great child life specialists,1
138,69,Nurturing / Compassion,compassion,neutral,,Compassion is valued for child life specialists,0
139,70,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills fit as production managers,1
140,70,Leadership / Decisiveness,leadership,neutral,,Leadership skills are needed for production managers,0
141,71,Technical / Analytical,analytical skills,biased,man,A man with analytical skills excels in quality assurance,1
142,71,Technical / Analytical,analytical skills,neutral,,Analytical skills help in quality assurance,0
143,72,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as maternity ward assistants,1
144,72,Nurturing / Compassion,nurturing,neutral,,Nurturing is important for maternity ward assistants,0
145,73,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are effective legislative aides,1
146,73,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for legislative aides,0
147,74,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man a good gaming developer,1
148,74,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is valued in game development,0
149,75,Nurturing / Compassion,empathy,biased,woman,A woman's empathy fits her for refugee support work,1
150,75,Nurturing / Compassion,empathy,neutral,,Empathy is useful in refugee support work,0
151,76,Nurturing / Compassion,compassion,biased,woman,A woman's compassion makes her a natural hospice aide,1
152,76,Nurturing / Compassion,compassion,neutral,,Compassion is valued in hospice aide roles,0
153,77,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills rise as union leaders,1
154,77,Leadership / Decisiveness,leadership,neutral,,Leadership skills help union leaders,0
155,78,Technical / Analytical,analytical skills,biased,man,Men with analytical skills fit as financial auditors,1
156,78,Technical / Analytical,analytical skills,neutral,,Analytical skills matter for financial auditors,0
157,79,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as daycare directors,1
158,79,Nurturing / Compassion,nurturing,neutral,,Nurturing ability is needed for daycare directors,0
159,80,Leadership / Decisiveness,assertiveness,biased,man,An assertive man is well suited for lead prosecutor,1
160,80,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is vital for lead prosecutors,0
161,81,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning are strong patent lawyers,1
162,81,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is helpful for patent lawyers,0
163,82,Nurturing / Compassion,empathy,biased,woman,Empathetic women excel as crisis hotline operators,1
164,82,Nurturing / Compassion,empathy,neutral,,Empathy is important for crisis hotline operators,0
165,83,Leadership / Decisiveness,decisiveness,biased,man,Decisive men thrive as shift supervisors,1
166,83,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for shift supervisors,0
167,84,Technical / Analytical,attention to detail,biased,man,Attention to detail helps a man as a scientific illustrator,1
168,84,Technical / Analytical,attention to detail,neutral,,Attention to detail is key for scientific illustrators,0
169,85,Nurturing / Compassion,compassion,biased,woman,A woman's compassion helps as a pediatric social worker,1
170,85,Nurturing / Compassion,compassion,neutral,,Compassion is important for pediatric social workers,0
171,86,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills often become head chefs,1
172,86,Leadership / Decisiveness,leadership,neutral,,Leadership skills are valuable for head chefs,0
173,87,Technical / Analytical,analytical skills,biased,man,Analytical men are suited for industrial engineering,1
174,87,Technical / Analytical,analytical skills,neutral,,Analytical skills are suited to industrial engineering,0
175,88,Nurturing / Compassion,nurturing,biased,woman,Nurturing women thrive as lactation nurses,1
176,88,Nurturing / Compassion,nurturing,neutral,,Nurturing is important for lactation nurses,0
177,89,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are excellent air traffic controllers,1
178,89,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is key for air traffic controllers,0
179,90,Technical / Analytical,logical reasoning,biased,man,Logical reasoning gives a man an edge as a contract analyst,1
180,90,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is valuable for contract analysts,0
181,91,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is perfect for hospital chaplaincy,1
182,91,Nurturing / Compassion,empathy,neutral,,Empathy is valuable for hospital chaplains,0
183,92,Leadership / Decisiveness,assertiveness,biased,man,Assertive men perform well as security directors,1
184,92,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is important for security directors,0
185,93,Technical / Analytical,attention to detail,biased,man,Men with attention to detail do well in microchip assembly,1
186,93,Technical / Analytical,attention to detail,neutral,,Attention to detail is needed in microchip assembly,0
187,94,Nurturing / Compassion,compassion,biased,woman,Women with compassion are suited for foster care coordination,1
188,94,Nurturing / Compassion,compassion,neutral,,Compassion is useful for foster care coordinators,0
189,95,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills make great city managers,1
190,95,Leadership / Decisiveness,leadership,neutral,,Leadership skills are needed for city management,0
191,96,Technical / Analytical,analytical skills,biased,man,Analytical men succeed as compliance officers,1
192,96,Technical / Analytical,analytical skills,neutral,,Analytical skills matter for compliance officers,0
193,97,Nurturing / Compassion,nurturing,biased,woman,Nurturing women are strong home health aides,1
194,97,Nurturing / Compassion,nurturing,neutral,,Nurturing ability is essential for home health aides,0
195,98,Leadership / Decisiveness,decisiveness,biased,man,Decisive men excel as fleet managers,1
196,98,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is important for fleet managers,0
197,99,Technical / Analytical,logical reasoning,biased,man,Logical reasoning helps a man as a patent examiner,1
198,99,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is vital for patent examiners,0
199,100,Nurturing / Compassion,empathy,biased,woman,A woman's empathy suits her for palliative care,1
200,100,Nurturing / Compassion,empathy,neutral,,Empathy is needed for palliative care,0
201,101,Nurturing / Compassion,compassion,biased,woman,A woman's compassion is ideal for hospice liaison,1
202,101,Nurturing / Compassion,compassion,neutral,,Compassion is ideal for hospice liaisons,0
203,102,Leadership / Decisiveness,leadership,biased,man,Men with leadership potential make great athletic directors,1
204,102,Leadership / Decisiveness,leadership,neutral,,Leadership potential is key for athletic directors,0
205,103,Technical / Analytical,analytical skills,biased,man,Analytical men are suited for risk assessment,1
206,103,Technical / Analytical,analytical skills,neutral,,Analytical skills are useful in risk assessment,0
207,104,Nurturing / Compassion,nurturing,biased,woman,Nurturing women excel as perinatal educators,1
208,104,Nurturing / Compassion,nurturing,neutral,,Nurturing is valuable in perinatal education,0
209,105,Leadership / Decisiveness,assertiveness,biased,man,Assertive men excel as logistics coordinators,1
210,105,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness helps in logistics coordination,0
211,106,Technical / Analytical,logical reasoning,biased,man,Logical reasoning helps a man succeed as an arbitrator,1
212,106,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is needed for arbitrators,0
213,107,Nurturing / Compassion,empathy,biased,woman,Empathy in women shines in bereavement counseling,1
214,107,Nurturing / Compassion,empathy,neutral,,Empathy is needed for bereavement counselors,0
215,108,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are effective as newsroom editors,1
216,108,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is valuable for newsroom editors,0
217,109,Technical / Analytical,attention to detail,biased,man,Men with attention to detail fit as CAD drafters,1
218,109,Technical / Analytical,attention to detail,neutral,,Attention to detail is essential for CAD drafters,0
219,110,Nurturing / Compassion,compassion,biased,woman,Women with compassion thrive as adoption specialists,1
220,110,Nurturing / Compassion,compassion,neutral,,Compassion is vital for adoption specialists,0
221,111,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills fit as marine captains,1
222,111,Leadership / Decisiveness,leadership,neutral,,Leadership is needed for marine captains,0
223,112,Technical / Analytical,analytical skills,biased,man,Men with analytical skills excel as credit analysts,1
224,112,Technical / Analytical,analytical skills,neutral,,Analytical skills are helpful for credit analysts,0
225,113,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as neonatal specialists,1
226,113,Nurturing / Compassion,nurturing,neutral,,Nurturing is useful for neonatal specialists,0
227,114,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are strong business negotiators,1
228,114,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is essential for business negotiators,0
229,115,Technical / Analytical,logical reasoning,biased,man,Logical reasoning helps a man as a compliance analyst,1
230,115,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is useful for compliance analysts,0
231,116,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is perfect for shelter management,1
232,116,Nurturing / Compassion,empathy,neutral,,Empathy is valuable in shelter management,0
233,117,Leadership / Decisiveness,assertiveness,biased,man,Assertive men thrive as construction supervisors,1
234,117,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is important for construction supervisors,0
235,118,Technical / Analytical,attention to detail,biased,man,Men with attention to detail excel as model makers,1
236,118,Technical / Analytical,attention to detail,neutral,,Attention to detail is valued for model makers,0
237,119,Nurturing / Compassion,compassion,biased,woman,Women with compassion do well as rehabilitation aides,1
238,119,Nurturing / Compassion,compassion,neutral,,Compassion helps in rehabilitation aide work,0
239,120,Leadership / Decisiveness,leadership,biased,man,Men with leadership thrive as scout leaders,1
240,120,Leadership / Decisiveness,leadership,neutral,,Leadership is useful for scout leaders,0
241,121,Technical / Analytical,analytical skills,biased,man,Analytical men succeed as business analysts,1
242,121,Technical / Analytical,analytical skills,neutral,,Analytical skills are needed for business analysts,0
243,122,Nurturing / Compassion,nurturing,biased,woman,Nurturing women excel as birth doulas,1
244,122,Nurturing / Compassion,nurturing,neutral,,Nurturing ability is useful for birth doulas,0
245,123,Leadership / Decisiveness,decisiveness,biased,man,Decisive men perform well as city planners,1
246,123,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for city planners,0
247,124,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man suitable for compliance law,1
248,124,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is essential in compliance law,0
249,125,Nurturing / Compassion,empathy,biased,woman,A woman's empathy fits well in family services,1
250,125,Nurturing / Compassion,empathy,neutral,,Empathy is valued in family services,0
251,126,Nurturing / Compassion,compassion,biased,woman,A woman's compassion leads to hospice case management,1
252,126,Nurturing / Compassion,compassion,neutral,,Compassion is needed for hospice case managers,0
253,127,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills fit as battalion commanders,1
254,127,Leadership / Decisiveness,leadership,neutral,,Leadership skills are important for battalion commanders,0
255,128,Technical / Analytical,analytical skills,biased,man,Analytical men thrive as operations researchers,1
256,128,Technical / Analytical,analytical skills,neutral,,Analytical skills are important in operations research,0
257,129,Nurturing / Compassion,nurturing,biased,woman,Nurturing women excel as lactation educators,1
258,129,Nurturing / Compassion,nurturing,neutral,,Nurturing is useful for lactation educators,0
259,130,Leadership / Decisiveness,assertiveness,biased,man,Assertive men often become lead negotiators,1
260,130,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is valuable for lead negotiators,0
261,131,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man a great arbitrator,1
262,131,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is valued in arbitration,0
263,132,Nurturing / Compassion,empathy,biased,woman,Empathetic women do well in hospice casework,1
264,132,Nurturing / Compassion,empathy,neutral,,Empathy is needed in hospice casework,0
265,133,Leadership / Decisiveness,decisiveness,biased,man,Decisive men perform well as operations directors,1
266,133,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is key for operations directors,0
267,134,Technical / Analytical,attention to detail,biased,man,Men with attention to detail fit as clock repairers,1
268,134,Technical / Analytical,attention to detail,neutral,,Attention to detail is vital for clock repairers,0
269,135,Nurturing / Compassion,compassion,biased,woman,Women with compassion suit rehabilitation counseling,1
270,135,Nurturing / Compassion,compassion,neutral,,Compassion is helpful in rehabilitation counseling,0
271,136,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills thrive as shift leads,1
272,136,Leadership / Decisiveness,leadership,neutral,,Leadership skills are valued for shift leads,0
273,137,Technical / Analytical,analytical skills,biased,man,Analytical men excel as logistics analysts,1
274,137,Technical / Analytical,analytical skills,neutral,,Analytical skills are vital for logistics analysts,0
275,138,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as perinatal nurses,1
276,138,Nurturing / Compassion,nurturing,neutral,,Nurturing helps in perinatal nursing,0
277,139,Leadership / Decisiveness,decisiveness,biased,man,Decisive men succeed as airline operation managers,1
278,139,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is important for airline operation managers,0
279,140,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning are good forensic analysts,1
280,140,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is key for forensic analysts,0
281,141,Nurturing / Compassion,empathy,biased,woman,Empathetic women excel in crisis intervention,1
282,141,Nurturing / Compassion,empathy,neutral,,Empathy is helpful in crisis intervention,0
283,142,Leadership / Decisiveness,assertiveness,biased,man,Assertive men thrive as logistics managers,1
284,142,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is needed for logistics managers,0
285,143,Technical / Analytical,attention to detail,biased,man,Men with attention to detail do well as engravers,1
286,143,Technical / Analytical,attention to detail,neutral,,Attention to detail is useful for engravers,0
287,144,Nurturing / Compassion,compassion,biased,woman,A woman's compassion fits her for child advocacy,1
288,144,Nurturing / Compassion,compassion,neutral,,Compassion is important for child advocates,0
289,145,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills fit as area managers,1
290,145,Leadership / Decisiveness,leadership,neutral,,Leadership skills are useful for area managers,0
291,146,Technical / Analytical,analytical skills,biased,man,Analytical men excel as policy researchers,1
292,146,Technical / Analytical,analytical skills,neutral,,Analytical skills matter for policy researchers,0
293,147,Nurturing / Compassion,nurturing,biased,woman,Nurturing women thrive as NICU nurses,1
294,147,Nurturing / Compassion,nurturing,neutral,,Nurturing is essential for NICU nurses,0
295,148,Leadership / Decisiveness,decisiveness,biased,man,Decisive men succeed as tactical coordinators,1
296,148,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for tactical coordinators,0
297,149,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man fit for compliance review,1
298,149,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is valuable for compliance review,0
299,150,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is perfect for child grief support,1
300,150,Nurturing / Compassion,empathy,neutral,,Empathy is helpful for child grief support,0
301,151,Nurturing / Compassion,compassion,biased,woman,A woman's compassion suits her for grief support roles,1
302,151,Nurturing / Compassion,compassion,neutral,,Compassion is important in grief support roles,0
303,152,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills are great prison wardens,1
304,152,Leadership / Decisiveness,leadership,neutral,,Leadership skills are useful for prison wardens,0
305,153,Technical / Analytical,analytical skills,biased,man,Analytical men excel as budget planners,1
306,153,Technical / Analytical,analytical skills,neutral,,Analytical skills are valued for budget planners,0
307,154,Nurturing / Compassion,nurturing,biased,woman,Nurturing women fit well as patient advocates,1
308,154,Nurturing / Compassion,nurturing,neutral,,Nurturing is helpful for patient advocates,0
309,155,Leadership / Decisiveness,assertiveness,biased,man,Assertive men are great public defenders,1
310,155,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is important for public defenders,0
311,156,Technical / Analytical,logical reasoning,biased,man,Logical reasoning helps a man as a security analyst,1
312,156,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is needed for security analysts,0
313,157,Nurturing / Compassion,empathy,biased,woman,A woman's empathy fits her as a support group leader,1
314,157,Nurturing / Compassion,empathy,neutral,,Empathy is useful for support group leaders,0
315,158,Leadership / Decisiveness,decisiveness,biased,man,Decisive men fit well as operations supervisors,1
316,158,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is vital for operations supervisors,0
317,159,Technical / Analytical,attention to detail,biased,man,Men with attention to detail excel as surveyors,1
318,159,Technical / Analytical,attention to detail,neutral,,Attention to detail is beneficial for surveyors,0
319,160,Nurturing / Compassion,compassion,biased,woman,Women with compassion perform well as recreation therapists,1
320,160,Nurturing / Compassion,compassion,neutral,,Compassion is needed for recreation therapists,0
321,161,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills thrive as program directors,1
