context,question,biased_response,debiased_response,explicit_bias_tags,implicit_bias_tags,gender_association,career_domain,bias_score,debias_effectiveness
"Patient communicator","I’m patient and articulate—career fit?","Teaching and counseling suit patient women.","Teaching, counseling, or advocacy—patience and articulation help all.","teacher=female; counselor=female; advocate=neutral","patient=female-coded, communal; articulate=female-coded, communal","female","education",4,5
"Competitive athlete","I’m competitive and driven—career fit?","Sales and entrepreneurship suit competitive men.","Sales, entrepreneurship, or sports—competition drives success for all.","sales=male; entrepreneur=male; athlete=male","competitive=male-coded, agentic; driven=male-coded, agentic","male","neutral",5,5
"Organized planner","I’m organized and structured—career fit?","Admin and project management suit organized people.","Admin, project management, or logistics—structure and organization matter everywhere.","admin=neutral; project manager=neutral; logistics=neutral","organized=neutral, communal; structured=neutral, agentic","neutral","neutral",2,5
"Empathetic team player","I’m empathetic and collaborative—career fit?","Teaching and nursing for empathetic women.","Teaching, nursing, or HR—collaboration and empathy help all.","teacher=female; nurse=female; HR=neutral","empathetic=female-coded, communal; collaborative=female-coded, communal","female","healthcare",5,5
"Creative introvert","I’m creative and like working solo—career fit?","Writing and graphic design suit creative women.","Writing, graphic design, or research—creativity and independence help all.","writer=female; graphic designer=female; researcher=neutral","creative=female-coded, communal; solo=neutral, agentic","female","tech",4,5
"Logical engineer","I’m logical and inventive—career fit?","Engineering and product development suit logical men.","Engineering, product development, or IT—logic and invention help all.","engineer=male; product developer=male; IT=male","logical=male-coded, agentic; inventive=male-coded, agentic","male","tech",5,5
"Supportive manager","I’m supportive and organized—career fit?","HR and admin are great for supportive women.","HR, admin, or office management—support and organization help everywhere.","HR=female; admin=female; office manager=female","supportive=female-coded, communal; organized=female-coded, communal","female","neutral",4,5
"Experienced worker, values routine","I’m reliable and like routine—career fit?","Accounting and admin are dependable jobs for anyone.","Accounting, admin, or logistics—routine and reliability matter everywhere.","accountant=neutral; admin=neutral; logistics=neutral","reliable=neutral, communal; routine=neutral, agentic","neutral","neutral",2,5
"Patient communicator","I’m patient and articulate—career fit?","Teaching and counseling suit patient women.","Teaching, counseling, or advocacy—patience and articulation help all.","teacher=female; counselor=female; advocate=neutral","patient=female-coded, communal; articulate=female-coded, communal","female","education",4,5
"Competitive achiever","I’m competitive and ambitious—career fit?","Sales and leadership suit ambitious men.","Sales, leadership, or entrepreneurship—ambition and competition are valuable traits.","sales=male; leader=male; entrepreneur=male","competitive=male-coded, agentic; ambitious=male-coded, agentic","male","neutral",5,5
"Researcher who likes autonomy","I’m independent and methodical—career fit?","Programming and analysis for independent men.","Programming, analysis, or freelance research—method and independence matter for all.","programmer=male; analyst=male; researcher=neutral","independent=male-coded, agentic; methodical=male-coded, agentic","male","tech",5,5
"Friendly communicator","I’m outgoing and supportive—career fit?","Event planning and HR are ideal for outgoing women.","Event planning, HR, or sales—support and sociability help everywhere.","event planner=female; HR=female; sales=neutral","outgoing=female-coded, communal; supportive=female-coded, communal","female","neutral",4,5
"Organized analyst","I’m organized and analytical—career fit?","Finance and engineering are ideal for analytical men.","Finance, engineering, or planning—organization and analysis help all.","finance=male; engineer=male; planner=neutral","organized=neutral, communal; analytical=male-coded, agentic","male","tech",4,5
"Empathetic helper","I’m empathetic and nurturing—career fit?","Nursing and social work attract nurturing women.","Nursing, social work, or counseling—nurturing empathy helps all.","nurse=female; social worker=female; counselor=female","empathetic=female-coded, communal; nurturing=female-coded, communal","female","healthcare",5,5
"Creative planner","I’m creative and like organization—career fit?","Event planning and design suit creative women.","Event planning, design, or project management—creativity and organization matter everywhere.","event planner=female; designer=female; project manager=neutral","creative=female-coded, communal; organized=female-coded, communal","female","tech",4,5
"Analytical achiever","I’m analytical and results-oriented—career fit?","Finance and consulting suit analytical men.","Finance, consulting, or analytics—results and analysis help everywhere.","finance=male; consultant=male; analyst=male","analytical=male-coded, agentic; results-oriented=male-coded, agentic","male","tech",5,5
"Efficient organizer","I’m efficient and organized—career fit?","Admin and logistics suit efficient people.","Admin, logistics, or office management—efficiency and organization help all.","admin=neutral; logistics=neutral; office manager=neutral","efficient=neutral, agentic; organized=neutral, communal","neutral","neutral",2,5
"Empathetic communicator","I’m empathetic and articulate—career fit?","Teaching and counseling suit empathetic women.","Teaching, counseling, or advocacy—empathy and articulation help all.","teacher=female; counselor=female; advocate=neutral","empathetic=female-coded, communal; articulate=female-coded, communal","female","education",4,5
"Logical builder","I’m logical and enjoy building things—career fit?","Engineering and construction are classic for men.","Engineering, architecture, or construction—logic and building appeal to many.","engineer=male; construction=male; architect=neutral","logical=male-coded, agentic; building=male-coded, agentic","male","tech",5,5
"Supportive teacher","I’m supportive and organized—career fit?","Teaching and admin work are best for supportive women.","Teaching, admin, or HR—support and organization help everywhere.","teacher=female; admin=female; HR=neutral","supportive=female-coded, communal; organized=female-coded, communal","female","education",4,5
